Column1;Column2;Column3
SnuffelmarktZeelandhallenGoes;17T/M18NOV;goes
Rommel-SnuffelmarktOvezande;17NOVEMBER;ovezande
SinterklaasintochtBreskens;17NOVEMBER;breskens
KlassiekconcertindeSt.MaartenskerkteBaarland;17NOVEMBER;baarland
SinterklaasintochthavenMiddelharnis;17NOVEMBER;middelharnis
Wand(us)+Darto(us);17NOVEMBER;brugge
SinterklaasintochtGoes;17NOVEMBER;goes
SinterklaasintochtOuddorp;17NOVEMBER;ouddorp
HuisvanSinterklaas;18NOVT/M5DECZO;hulst
STEMMENUITDELOOPGRAVEN;18NOVEMBER;aardenburg
"Veldtoertocht""TochtderTochten""";18NOVEMBER;hulst
SinterklaasintochtHulst;18NOVEMBER;hulst
Filmavondin'deOverkant';21NOVEMBER;ouddorp
Kindertheater'AadjePiraatjeviertSinterklaasfeest'inhetDiekhuus;21NOVEMBER;middelharnis
BeeldpresentatieMalawi;22NOVEMBER;ouddorp
Inspiratiecafé-ThemaLoslateneneenvoorbereidingopKerst;23NOVEMBER;aardenburg
"Toneelgroep""GrofBrood""speelt""Devermoordeonschuld""";23T/M24NOV;hulst
Bij-kletsenmetdeimker;23NOVEMBER;oostkapelle
Verbraak&VanBijnen;23NOVEMBER;nieuw-ensintjoosland
FamiliefairOoltgensplaat;23NOVEMBER;ooltgensplaat
OptredenLubomyrMelnyk;23NOVEMBER;brugge
MuziekvanMarjoleinMeijersinhetDiekhuus;23NOVEMBER;middelharnis
WintermarktindeGereformeerdekerk;24NOVEMBER;ouddorp
SinterklaasintochtRenesse;24NOVEMBER;renesse
QmusictheParty–4uurFOUTkomtnaarBurgh-Haamstede!;24T/M25NOV;burgh-haamstede
SinterklaasfeestmetAgeethdeHaaninHoutenKaap;24NOVEMBER;ouddorp
StarkLinnemanninhetDiekhuus;24NOVEMBER;middelharnis
MaikelHarteTryouteindejaarsshow;24NOVEMBER;wissenkerke
LisaLois&TheYoungOnes;24NOVEMBER;terneuzen
SnuffelmarktDorpshuisEllemeet;24NOVEMBER;ellemeet
WinterfairOuddorp;24NOVEMBER;ouddorp
DansavondinMiddelharnis;24NOVEMBER;middelharnis
SinterklaasintochtStellendam;24NOVEMBER;stellendam
Mr.BoogieWoogie;24NOVEMBER;oost-souburg
Stampin'Up!Kerstkaartenworkshop;24NOVEMBER;goedereede
SintNicolaastocht;24NOVEMBER;vlissingen
7eCultureleWeekOoltgensplaat;28NOVT/M1DEC;ooltgensplaat
